run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think
20260621-063248-eval	b24dc42	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	5dab2e11	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/baseline.sh	general	gsm8k,mmlu	100	gsm8k=96.0;mmlu=84.88	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-063248-eval	on
20260621-065230-eval	b24dc42	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	5dab2e11	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=71.93	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-065230-eval	on
20260621-111517-eval	a972709	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	general	gsm8k	100	gsm8k=94.0	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-111517-eval	on
20260621-111648-eval	a972709	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	resistant	mmlu_pro	100	mmlu_pro=71.29	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-111648-eval	on
20260621-150451-eval	a5615fb	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	5dab2e11	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/baseline.sh	coder	humaneval,mbpp	full	humaneval=40.85;mbpp=80.8	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-150451-eval	on
