run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think	conc	samples	validity	status
20260620-070603-eval	60ee7a5	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	general	mmlu	100	mmlu=83.81	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-070603-eval	on	16	mmlu=5700/5700	ok	measured
20260620-080319-eval	60ee7a5	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=95.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-080319-eval	off	16	gsm8k=100/100	ok	measured
20260620-080509-eval	60ee7a5	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=70.07	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-080509-eval	off	16	mmlu_pro=1400/1400	ok	measured
20260620-145302-eval	23a1ac7	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	general	gsm8k,mmlu	full	gsm8k=94.24;mmlu=81.79	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-145302-eval	on	16	gsm8k=1319/1319;mmlu=14042/14042	ok	measured
20260621-145144-eval	a5615fb	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	coder	humaneval,mbpp	full	humaneval=69.51;mbpp=77.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260621-145144-eval	on	16	humaneval=164/164;mbpp=500/500	ok	measured
