run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think
20260622-194017-eval	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	9ec452d3	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/baseline.sh	general	mmlu	100	mmlu=84.32	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260622-194017-eval	on
20260623-011210-eval	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	9ec452d3	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=25.0	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260623-011210-eval	off
20260623-031559-eval	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	3f73e58f	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/20260622_mtp-n1_tuned.sh	general	gsm8k	100	gsm8k=32.0	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260623-031559-eval	off
