run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260622-195737-chat	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	9ec452d3	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/baseline.sh	447	180	42	42.3	121.47	176.55	256.85	361.92	70.1	c1:30/0/0;c4:81/3/0;c8:122/7/0;c16:174/15/0;c32:239/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=62C/36W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260622-195737-chat
20260622-201325-coder	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	coder(4096/1024)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	9ec452d3	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/baseline.sh	447	180	42	49.33	107.34	165.2	219.15	248.59	70.2	c1:7/0/0;c4:18/3/0;c8:26/7/0;c16:32/16/0;c32:35/32/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=64C/38W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260622-201325-coder
20260623-024705-chat	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	3f73e58f	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/20260622_mtp-n1_tuned.sh	477	180	42	56.23	na	na	295.14	na	69.2	c1:39/0/0;c16:198/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260623-023841 n1; thermal=62C/34W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260623-024705-chat
20260623-025324-chat	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	3f73e58f	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/20260622_mtp-n1_tuned.sh	477	180	42	55.94	na	na	293.2	na	69.2	c1:39/0/0;c16:200/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260623-023841 n2; thermal=64C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260623-025324-chat
20260623-025942-chat	2b30c96	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	3f73e58f	runbooks/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/20260622_mtp-n1_tuned.sh	477	180	42	56.34	na	na	296.07	na	69.3	c1:40/0/0;c16:203/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260623-023841 n3; thermal=65C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4/data/20260623-025942-chat
