run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think	conc	samples	validity	status
20260709-050740-eval	cdd29ed	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	0961d3ae	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/baseline.sh	general	mmlu	100	mmlu=83.51	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-050740-eval	on	16	mmlu=5700/5700	ok	measured
20260709-061427-eval	cdd29ed	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	0961d3ae	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=95.0	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-061427-eval	off	16	gsm8k=100/100	ok	measured
20260709-061637-eval	cdd29ed	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	0961d3ae	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=71.93	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-061637-eval	off	16	mmlu_pro=1400/1400	ok	measured
20260709-081854-eval	c2dda98	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	general	mmlu	100	mmlu=83.67	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-081854-eval	on	16	mmlu=5700/5700	ok	measured
20260709-092858-eval	c2dda98	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	general	gsm8k	100	gsm8k=91.0	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-092858-eval	off	16	gsm8k=100/100	ok	measured
20260709-093153-eval	c2dda98	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	resistant	mmlu_pro	100	mmlu_pro=69.21	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-093153-eval	off	16	mmlu_pro=1400/1400	ok	measured
