run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think	conc	samples	validity	status
20260615-171510-eval	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	66c4a57d	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	general	mmlu	100	mmlu=85.82	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-171510-eval	on	16	mmlu=5700/5700	ok	measured
20260615-183616-eval	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	66c4a57d	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=0.0	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-183616-eval	off	16	gsm8k=100/100	zero_score@gsm8k	suspect
20260615-191230-eval	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	d00606f7	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	general	gsm8k	full	gsm8k=61.87	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-191230-eval	off	16	gsm8k=1319/1319	ok	measured
20260615-200409-eval	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	d00606f7	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=76.43	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-200409-eval	off	16	mmlu_pro=1400/1400	ok	measured
20260616-054847-eval	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	425ca08c	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_moe-cutlass_tuned.sh	general	mmlu	100	mmlu=85.82	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-054847-eval	on	16	mmlu=5700/5700	ok	measured
20260616-182743-eval	5f2ed2c	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	479fc3da	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_mtp-n1_tuned.sh	general	gsm8k	full	gsm8k=59.36	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-182743-eval	off	16	gsm8k=1319/1319	ok	measured
20260616-190907-eval	5f2ed2c	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	479fc3da	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_mtp-n1_tuned.sh	resistant	mmlu_pro	full	mmlu_pro=74.16	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-190907-eval	off	16	mmlu_pro=12032/12032	ok	measured
