run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think	conc	samples	validity	status
20260815-171358-eval	b872c60	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	92de8fb3	runbooks/Inferact/Qwen3.8-27B-NVFP4/baseline.sh	general	mmlu	100	mmlu=82.61	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260815-171358-eval	on	16	mmlu=5700/5700	ok	measured
20260815-193404-eval	b872c60	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	92de8fb3	runbooks/Inferact/Qwen3.8-27B-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=97.0	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260815-193404-eval	off	16	gsm8k=100/100	ok	measured
20260815-193838-eval	b872c60	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	92de8fb3	runbooks/Inferact/Qwen3.8-27B-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=67.79	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260815-193838-eval	off	16	mmlu_pro=1400/1400	ok	measured
20260817-203815-eval	2f4a5eb	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	dd2f3eef	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n3_tuned.sh	general	gsm8k	full	gsm8k=95.45	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260817-203815-eval	off	16	gsm8k=1319/1319	ok	measured
20260817-210412-eval	2f4a5eb	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	dd2f3eef	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n3_tuned.sh	resistant	mmlu_pro	full	mmlu_pro=66.81	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260817-210412-eval	off	16	mmlu_pro=12032/12032	ok	measured
