run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260625-051518-chat	bf0c5d9	gb10-1988a9714b4e	unsloth/Qwen3.6-27B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	c8b4b165	runbooks/unsloth/Qwen3.6-27B-NVFP4/baseline.sh	406	180	42	12.1	41.54	72.71	122.61	192.34	72.4	c1:8/0/0;c4:26/3/0;c8:48/7/0;c16:77/15/0;c32:116/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=65C/36W	results/gb10-1988a9714b4e/unsloth/Qwen3.6-27B-NVFP4/data/20260625-051518-chat
20260625-053128-coder	bf0c5d9	gb10-1988a9714b4e	unsloth/Qwen3.6-27B-NVFP4	coder(4096/1024)	vllm@0.23.0(img:sha256:6d8429e38e37)	c8b4b165	runbooks/unsloth/Qwen3.6-27B-NVFP4/baseline.sh	406	180	42	22.12	43.35	67.09	82.08	116.47	72.4	c1:1/1/0;c4:5/3/0;c8:9/7/0;c16:8/15/0;c32:4/31/0	no_data@c1+no_data@c32+low_sample@c4+low_sample@c8+low_sample@c16+survivorship@c16+survivorship@c32	levels=1|4|8|16|32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	void	suite full-sweep; thermal=71C/39W; adjudicated=void@20260819(research/review/AUDIT-measurement-validity.md)	results/gb10-1988a9714b4e/unsloth/Qwen3.6-27B-NVFP4/data/20260625-053128-coder
20260625-080406-chat	e23edc1	gb10-1988a9714b4e	unsloth/Qwen3.6-27B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	7b3bf618	runbooks/unsloth/Qwen3.6-27B-NVFP4/20260624_mtp-n1_tuned.sh	482	180	42	16.85	na	na	159.42	na	69.9	c1:10/0/0;c16:103/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260625-075509 n1; thermal=71C/37W	results/gb10-1988a9714b4e/unsloth/Qwen3.6-27B-NVFP4/data/20260625-080406-chat
20260625-081027-chat	e23edc1	gb10-1988a9714b4e	unsloth/Qwen3.6-27B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	7b3bf618	runbooks/unsloth/Qwen3.6-27B-NVFP4/20260624_mtp-n1_tuned.sh	482	180	42	16.83	na	na	161.51	na	69.9	c1:11/0/0;c16:103/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260625-075509 n2; thermal=72C/38W	results/gb10-1988a9714b4e/unsloth/Qwen3.6-27B-NVFP4/data/20260625-081027-chat
20260625-081656-chat	e23edc1	gb10-1988a9714b4e	unsloth/Qwen3.6-27B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	7b3bf618	runbooks/unsloth/Qwen3.6-27B-NVFP4/20260624_mtp-n1_tuned.sh	482	180	42	16.84	na	na	167.1	na	69.9	c1:10/0/0;c16:107/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260625-075509 n3; thermal=73C/38W	results/gb10-1988a9714b4e/unsloth/Qwen3.6-27B-NVFP4/data/20260625-081656-chat
