run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think
20260808-150310-eval	d682a3d	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	10b02344	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.smoke-runbook.sh	general	gsm8k	100	gsm8k=60.0	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260808-150310-eval	off
20260808-153827-eval	d682a3d	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	10b02344	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.smoke-runbook.sh	general	gsm8k	100	gsm8k=76.0	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260808-153827-eval	off
20260809-210459-eval	404a981	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	10b02344	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.smoke-runbook.sh	general	gsm8k	100	gsm8k=74.0	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260809-210459-eval	off
20260809-213330-eval	def942c	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	10b02344	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.smoke-runbook.sh	general	gsm8k	100	gsm8k=74.0	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260809-213330-eval	off
