run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think
20260712-143330-eval	e7eed0e	gb10-1988a9714b4e	unsloth/Qwen3.6-35B-A3B-NVFP4-Fast	742cbc69	runbooks/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/baseline.sh	general	mmlu	100	mmlu=81.28	results/gb10-1988a9714b4e/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/data/20260712-143330-eval	on
20260712-150520-eval	831553c	gb10-1988a9714b4e	unsloth/Qwen3.6-35B-A3B-NVFP4-Fast	742cbc69	runbooks/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/baseline.sh	general	gsm8k	100	gsm8k=0.0	results/gb10-1988a9714b4e/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/data/20260712-150520-eval	off
20260712-151503-eval	831553c	gb10-1988a9714b4e	unsloth/Qwen3.6-35B-A3B-NVFP4-Fast	742cbc69	runbooks/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/baseline.sh	general	mmlu	100	mmlu=81.32	results/gb10-1988a9714b4e/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/data/20260712-151503-eval	on
20260712-155440-eval	831553c	gb10-1988a9714b4e	unsloth/Qwen3.6-35B-A3B-NVFP4-Fast	742cbc69	runbooks/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/baseline.sh	general	gsm8k	100	gsm8k=96.0	results/gb10-1988a9714b4e/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/data/20260712-155440-eval	off
20260712-171006-eval	831553c	gb10-1988a9714b4e	unsloth/Qwen3.6-35B-A3B-NVFP4-Fast	742cbc69	runbooks/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=68.57	results/gb10-1988a9714b4e/unsloth/Qwen3.6-35B-A3B-NVFP4-Fast/data/20260712-171006-eval	off
