run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data
20260613-174116-eval	c1f69bf	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	4cc6873b	runbooks/RedHatAI/Qwen3-8B-NVFP4/VLLM-22-RedHatAI_Qwen3-8B_NVFP4_final.sh	general	gsm8k,mmlu	100	gsm8k=87.0;mmlu=73.49	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-174116-eval
20260613-180001-eval	429df50	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	979bdb65	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	general	gsm8k,mmlu	100	gsm8k=91.0;mmlu=73.61	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-180001-eval
20260613-204129-eval	45c9796	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	general	gsm8k,mmlu	100	gsm8k=92.0;mmlu=73.25	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-204129-eval
20260614-075213-eval	1720e32	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	general	gsm8k,mmlu	full	gsm8k=87.64;mmlu=70.99	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260614-075213-eval
