run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think	conc	samples	validity	status
20260818-093643-eval	4c8a98c	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	8cfcfcac	runbooks/unsloth/Qwen3.8-27B-NVFP4/baseline.sh	general	mmlu	100	mmlu=79.89	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-093643-eval	on	16	mmlu=5700/5700	ok	measured
20260818-111756-eval	4c8a98c	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	8cfcfcac	runbooks/unsloth/Qwen3.8-27B-NVFP4/baseline.sh	general	gsm8k	100	gsm8k=95.0	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-111756-eval	off	16	gsm8k=100/100	ok	measured
20260818-112137-eval	4c8a98c	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	8cfcfcac	runbooks/unsloth/Qwen3.8-27B-NVFP4/baseline.sh	resistant	mmlu_pro	100	mmlu_pro=70.43	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-112137-eval	off	16	mmlu_pro=1400/1400	ok	measured
20260818-222152-eval	4081e09	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	de23b412	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n3_tuned.sh	general	gsm8k	full	gsm8k=95.98	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-222152-eval	off	16	gsm8k=1319/1319	ok	measured
20260818-224316-eval	4081e09	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	de23b412	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n3_tuned.sh	resistant	mmlu_pro	full	mmlu_pro=70.38	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-224316-eval	off	16	mmlu_pro=12032/12032	ok	measured
